,city,lat,lon,temp max,Humidity,Wind Speed,Cloudiness
371,illapel,-3.7,-45.5,75.64,87,5.48,0
372,carmo do cajuru,-17.6,-44.73,68.11,48,3.56,0
373,lasem,-7.54,112.45,88.13,39,13.06,25
374,ulaangom,56.19,-117.61,71.6,56,2.24,75
375,paamiut,58.94,69.13,48.06,99,3.42,100
376,eskilstuna,37.4,136.9,77.0,65,11.41,75
377,ozgon,-18.08,-39.55,68.4,94,4.32,0
378,dafeng,43.72,26.83,69.01,70,5.01,63
379,goragorskiy,50.1,-91.92,51.8,93,3.36,75
380,kieta,58.55,58.76,44.7,93,2.3,14
381,zhongshu,-15.72,46.32,69.8,68,5.82,0
382,lolua,55.82,37.87,63.0,77,4.47,0
383,grindavik,-6.13,106.38,84.99,65,6.93,20
384,ullapool,9.35,42.8,58.02,90,9.91,3
385,grand river south east,2.67,72.89,83.07,74,8.59,100
386,bystrice nad pernstejnem,60.79,-161.76,57.2,93,17.22,90
387,lasa,45.0,25.75,71.01,72,6.93,0
388,caucaia,18.39,42.45,66.2,59,2.21,20
389,yushu,41.42,-6.55,67.39,42,1.59,0
390,touros,10.57,72.64,82.44,78,20.07,79
391,sayyan,-34.0,24.73,49.88,90,8.99,1
392,ponta delgada,27.91,-15.45,71.6,68,13.87,20
393,zhanatas,10.79,77.71,80.19,65,21.14,93
394,kenai,26.0,63.05,80.01,73,4.23,66
395,praia,15.09,-87.97,84.2,79,5.82,75
396,san patricio,56.66,124.71,50.83,94,1.97,100
397,ericeira,-16.48,-151.75,77.8,85,20.49,15
398,mabaruma,60.82,-115.79,60.8,72,11.41,40
399,maria chiquita,14.68,-86.92,67.81,86,4.76,100
400,rocha,57.86,24.36,61.62,78,23.51,10
401,viransehir,36.43,-99.39,89.6,51,6.93,1
402,boyolangu,28.66,-17.92,71.6,56,5.82,0
403,wynyard,28.17,94.8,61.2,98,1.45,100
404,mattru,-8.83,13.24,71.19,87,7.92,70
405,nakhodka,37.47,57.33,60.8,77,9.17,75
406,zhanjiang,64.84,-147.72,64.4,55,9.17,75
407,pedro ii,48.29,20.43,49.36,83,5.35,0
408,umm lajj,-35.17,173.16,61.0,100,3.0,100
409,nioro,-8.49,140.4,77.1,80,19.3,8
410,monteagudo,-20.24,-56.38,70.83,58,5.55,0
411,capreol,-2.54,115.51,90.85,33,3.33,0
412,shellbrook,-7.38,108.21,81.13,51,5.95,26
413,warmbad,66.08,76.63,48.48,89,5.19,96
